country,year,processor_manufacturer,max_sales_usd
Australia,2015,NVidia,627321.75613674871
Australia,2016,NVidia,4330845.7097680336
Australia,2017,NVidia,5992295.3269605497
Australia,2018,NVidia,2218648.8085478675
Belgium,2016,NVidia,391364.73577787547
Belgium,2017,NVidia,461252.27637988236
Belgium,2018,NVidia,307720.32770297298
Canada,2016,NVidia,6762384.976557971
Canada,2017,NVidia,9739616.8908358067
Canada,2018,NVidia,3818467.363220897
France,2016,NVidia,885.17317103080018
France,2017,NVidia,359341.51616968651
France,2018,NVidia,258893.58532970623
Germany,2013,NVidia,10177376.614693467
Germany,2014,NVidia,14769252.78765543
Germany,2015,NVidia,19799937.813605364
Germany,2016,NVidia,42229185.875360139
Germany,2017,NVidia,59063388.637831435
Germany,2018,NVidia,14579652.874707133
Ireland,2017,NVidia,314288.0189744372
Ireland,2018,NVidia,1042959.9820029947
Italy,2016,NVidia,419.09953293429999
Italy,2017,NVidia,260224.747197196
Italy,2018,NVidia,357554.4855671039
New Zeland,2016,NVidia,1806791.2283866205
New Zeland,2017,NVidia,3457949.6812508698
New Zeland,2018,NVidia,1153569.2894155132
Spain,2013,NVidia,701532.07400181424
Spain,2014,NVidia,887454.45408210822
Spain,2015,NVidia,1336117.5918818722
Spain,2016,NVidia,2626810.3732115072
Spain,2017,NVidia,4386119.3987775529
Spain,2018,NVidia,1233319.1144012141
United Kingdom,2015,NVidia,6402148.3262492316
United Kingdom,2016,NVidia,20020374.999758877
United Kingdom,2017,NVidia,31875801.945620056
United Kingdom,2018,NVidia,8870882.7702501118
United States of America,2016,NVidia,4859450.2628258793
United States of America,2017,NVidia,9941150.777682092
United States of America,2018,NVidia,3843668.2376086283
