customer_id;month_of_year;store_id;total_sales
3;4;15;33.48
3;10;15;40.21
3;11;15;24.85
5;1;14;1.08
6;7;15;65.76
10;1;11;19.56
10;2;11;19.14
10;12;11;15.12
14;7;24;9.14
17;8;7;41.57
17;12;6;8.60
19;7;14;13.37
20;1;24;24.86
20;6;24;32.60
21;3;15;4.60
23;3;24;28.46
26;10;6;35.65
28;1;15;33.53
28;4;15;1.46
28;10;15;27.07
30;3;11;28.76
30;5;11;29.04
30;7;11;38.65
30;10;11;9.48
36;5;11;17.12
36;7;11;20.07
36;9;11;11.94
36;11;11;31.86
39;1;13;8.43
39;5;13;25.59
39;7;13;49.10
39;8;13;38.71
39;10;13;31.60
39;11;13;42.36
39;12;13;45.98
40;4;14;21.86
41;3;11;46.01
41;9;11;54.57
43;3;7;31.99
43;7;7;33.18
44;4;6;57.96
44;7;6;19.44
44;8;7;44.68
44;10;7;46.73
44;12;6;28.99
45;2;15;41.81
45;6;15;39.39
49;3;7;17.76
49;5;6;19.05
49;7;7;10.44
49;10;7;30.71
50;7;7;19.60
50;9;7;35.93
55;1;24;14.34
55;2;24;16.77
55;6;24;22.79
56;9;24;33.26
62;7;7;24.87
64;2;11;13.67
64;3;11;33.79
74;2;15;18.03
74;7;15;25.04
76;1;3;23.50
76;2;3;31.65
76;3;3;28.47
76;4;3;17.91
76;7;3;12.56
76;9;3;28.33
76;10;3;76.03
76;11;3;54.66
77;2;6;38.18
77;3;6;8.85
77;9;7;8.48
79;1;17;19.04
79;2;17;10.29
79;4;17;35.46
79;6;17;9.41
79;9;17;35.88
79;12;17;6.07
80;2;24;20.16
80;3;24;26.70
80;12;24;36.20
81;3;11;17.94
81;9;11;19.79
88;4;11;35.24
88;12;11;18.75
89;8;6;40.21
89;12;7;57.06
91;2;7;25.39
91;4;6;7.36
91;8;6;43.91
91;9;6;26.04
93;1;13;38.63
93;3;13;21.15
93;10;13;25.24
93;11;13;36.71
96;9;11;43.57
99;1;3;20.75
99;3;3;49.57
99;6;3;138.25
99;8;3;5.37
99;9;3;53.57
99;11;3;33.58
99;12;3;39.65
105;3;24;2.54
105;4;24;15.30
106;1;6;77.01
106;2;6;49.49
106;12;7;16.15
110;7;7;4.23
110;11;7;26.50
112;6;7;36.06
112;7;7;14.60
112;10;6;14.35
115;6;7;29.08
115;7;7;35.87
115;8;6;31.46
115;10;6;12.04
115;12;6;27.83
117;1;13;101.85
118;3;3;5.31
118;4;3;42.12
118;7;3;13.63
118;11;3;53.75
118;12;3;22.22
120;5;11;29.82
120;10;11;32.53
121;3;6;34.28
121;10;6;26.75
125;4;6;22.12
125;5;6;5.52
126;11;15;45.13
127;4;15;1.38
127;6;15;27.85
127;11;15;25.45
128;6;13;37.72
128;7;13;40.38
128;10;13;68.54
130;12;14;17.05
131;3;24;52.93
133;8;7;5.24
133;11;6;33.47
136;5;15;57.70
136;6;15;13.00
137;9;7;46.02
137;11;7;9.72
139;11;24;29.00
142;1;15;38.20
143;4;6;18.46
143;6;7;38.73
143;11;7;3.81
148;1;15;18.50
148;8;15;43.97
149;7;24;16.62
149;12;24;20.97
151;2;14;25.43
152;2;15;27.80
152;4;15;6.22
154;2;13;4.53
154;3;13;43.64
154;4;13;13.41
154;8;13;23.22
154;10;13;14.58
154;12;13;53.67
157;2;24;3.74
157;12;24;17.62
158;1;17;25.34
158;3;17;45.29
158;4;17;28.36
158;5;17;47.06
158;8;17;5.42
158;9;17;33.36
158;11;17;76.98
159;5;11;48.93
159;8;11;68.59
159;11;11;41.96
160;3;15;27.20
160;4;15;12.45
160;10;15;30.38
161;2;24;25.06
161;6;24;50.16
161;8;24;47.82
163;10;7;44.20
165;6;11;27.52
167;4;24;34.43
168;3;22;4.42
169;1;13;37.09
169;3;13;43.02
169;4;13;47.76
169;7;13;23.06
169;8;13;2.32
169;12;13;66.67
170;5;6;47.41
170;7;7;43.60
170;10;7;12.99
172;1;6;15.17
172;8;6;31.89
176;3;14;11.01
176;11;14;12.82
177;2;13;9.03
177;5;13;11.04
177;7;13;29.48
177;9;13;32.90
178;2;13;3.22
178;4;13;21.34
178;5;13;54.98
178;6;13;44.24
178;7;13;21.07
178;8;13;5.44
178;9;13;11.34
179;7;6;36.54
179;12;6;51.37
180;5;15;33.78
180;6;15;13.35
181;1;3;30.28
181;2;3;27.02
181;4;3;14.33
181;7;3;49.31
181;8;3;44.90
181;9;3;7.04
181;11;3;76.52
182;4;15;10.37
182;8;15;44.09
182;9;15;58.54
186;9;24;13.50
186;11;24;16.05
187;1;13;62.93
187;5;13;10.27
187;8;13;40.27
187;9;13;14.61
187;10;13;37.21
187;11;13;46.03
188;2;13;31.82
188;3;13;22.07
188;7;13;10.94
188;8;13;43.51
188;9;13;18.09
188;11;13;46.58
190;1;13;37.07
190;3;13;70.79
190;4;13;37.24
190;7;13;36.45
190;12;13;40.61
191;9;6;53.23
191;11;6;21.89
191;12;7;10.42
192;5;16;50.01
192;6;16;77.83
192;7;16;72.79
192;8;16;28.31
192;9;16;25.92
192;10;16;21.60
192;11;16;29.24
192;12;16;34.20
193;5;6;33.89
193;9;6;7.41
196;10;14;7.95
197;2;24;20.01
197;8;24;13.14
197;12;24;16.60
198;1;24;51.12
198;9;24;27.76
200;8;7;13.08
206;3;2;11.97
206;4;2;5.08
206;7;2;13.63
207;1;24;21.66
208;3;13;41.08
208;7;13;24.63
208;8;13;9.30
208;9;13;70.59
208;11;13;41.75
213;1;7;26.13
213;6;7;23.17
213;8;7;35.27
215;7;24;24.58
216;3;17;48.55
216;6;17;34.87
216;7;17;41.47
216;9;17;30.90
216;10;17;18.85
217;1;13;15.29
217;3;13;99.40
217;5;13;19.97
217;12;13;24.70
219;5;7;13.09
219;7;7;75.18
220;3;7;10.26
220;8;7;9.60
221;1;15;29.32
221;9;15;24.06
221;12;15;13.50
222;8;24;14.04
226;3;11;70.28
226;6;11;27.83
226;8;11;37.89
226;10;11;26.63
228;12;24;54.13
229;3;15;36.42
229;5;15;18.16
229;12;15;25.44
230;10;2;19.77
230;12;2;31.90
234;1;24;18.25
234;6;24;60.88
235;6;11;17.15
235;10;11;42.59
236;2;11;40.50
238;4;11;14.29
240;1;7;47.68
240;2;7;38.31
240;4;7;5.06
240;9;6;49.68
250;1;11;10.08
250;12;11;15.37
251;4;24;14.96
252;9;24;68.58
252;12;24;9.33
255;1;7;9.84
255;5;6;10.82
255;5;7;33.32
255;6;6;9.27
255;6;7;36.51
255;10;7;16.38
260;2;11;31.90
260;5;11;22.93
260;7;11;83.10
260;8;11;13.02
260;10;11;77.64
261;3;24;45.18
261;6;24;73.38
261;8;24;7.41
265;3;11;10.32
265;5;11;21.92
265;9;11;49.18
265;11;11;36.28
267;5;7;24.43
268;10;7;41.46
268;12;6;30.08
269;6;14;6.28
273;2;7;17.51
274;4;13;15.86
274;7;13;8.92
274;10;13;73.84
274;11;13;19.38
274;12;13;19.26
275;6;6;27.10
276;3;15;13.12
276;11;15;17.06
277;10;2;16.46
277;11;2;10.64
278;5;15;25.50
278;12;15;31.01
280;3;13;32.57
280;7;13;50.16
280;8;13;41.38
280;9;13;34.68
280;10;13;47.16
281;11;7;10.40
281;12;7;23.56
282;1;24;12.49
282;5;24;30.71
283;1;14;5.38
285;6;7;36.20
285;7;7;58.32
285;10;6;7.20
285;12;6;15.69
287;2;6;22.90
287;5;6;7.95
287;8;7;6.36
288;2;7;36.75
288;10;6;39.54
289;2;6;17.32
290;5;15;16.75
293;4;22;46.36
293;7;22;18.07
293;8;22;26.38
293;9;22;23.84
293;12;22;25.50
294;9;24;116.51
295;11;14;9.92
296;4;6;33.48
296;9;6;41.41
296;10;6;37.53
302;1;15;16.02
302;3;15;9.71
302;7;15;15.68
304;1;13;35.13
304;2;13;5.46
304;3;13;11.94
304;7;13;18.45
304;11;13;46.28
308;5;14;14.33
311;1;7;40.31
311;3;6;37.32
311;4;7;24.35
311;12;6;36.29
312;5;7;25.66
314;4;15;35.21
314;5;15;21.08
317;2;15;38.20
317;4;15;3.42
317;11;15;34.81
319;2;15;43.06
319;7;15;9.67
323;2;24;23.69
323;6;24;23.46
325;1;15;8.34
325;2;15;15.24
326;7;2;8.07
326;12;2;3.92
328;3;11;68.39
328;4;11;56.16
328;5;11;44.29
328;9;11;15.66
329;5;7;42.36
329;8;6;41.39
335;1;17;7.35
335;2;17;26.05
335;3;17;7.61
335;4;17;15.88
335;6;17;49.66
335;9;17;47.27
335;11;17;22.05
335;12;17;11.45
336;4;6;49.99
336;6;6;44.69
338;4;2;18.26
341;3;17;105.03
341;5;17;13.37
341;11;17;24.79
342;4;24;10.74
342;10;24;4.98
346;1;13;24.72
346;5;13;16.05
346;6;13;18.53
346;7;13;56.79
346;10;13;25.01
346;12;13;44.94
348;11;2;18.32
350;1;6;30.94
350;2;6;24.68
350;3;7;20.08
350;12;6;16.44
352;1;11;43.84
352;4;11;35.32
352;12;11;31.79
354;1;23;79.99
354;3;23;52.91
354;4;23;20.01
354;6;23;11.67
354;10;23;49.35
354;12;23;35.95
355;2;3;7.60
355;3;3;5.55
355;4;3;38.59
355;11;3;72.30
360;1;24;27.82
360;3;24;5.78
360;6;24;4.44
360;11;24;44.79
361;1;11;27.17
361;5;11;13.21
361;10;11;18.51
361;12;11;16.64
363;1;7;53.80
363;6;6;33.05
364;2;6;5.56
369;2;7;8.94
369;4;7;34.82
369;11;7;14.04
369;12;7;14.68
372;10;2;19.17
373;1;13;26.01
373;5;13;6.84
373;6;13;44.39
373;11;13;71.57
374;12;15;25.77
376;2;11;55.56
376;5;11;2.28
376;11;11;23.02
377;1;7;42.71
377;3;7;21.16
377;9;6;28.92
377;11;6;30.28
377;12;7;17.84
378;1;16;129.07
378;2;16;77.97
378;3;16;34.74
378;4;16;29.15
378;5;16;34.82
378;6;16;35.48
378;7;16;86.16
378;8;16;64.24
378;9;16;24.92
378;10;16;95.89
380;5;14;5.12
380;12;14;5.98
381;12;7;3.58
383;9;14;13.56
387;4;22;11.79
387;8;22;27.25
388;12;6;6.81
391;2;7;29.02
391;3;6;14.83
391;5;6;54.77
391;8;7;38.16
391;11;6;40.98
392;1;13;31.81
392;2;13;17.74
392;5;13;33.71
392;6;13;49.21
392;7;13;49.94
392;10;13;8.49
392;11;13;23.13
394;4;14;10.85
395;3;24;55.29
398;1;13;10.60
398;3;13;70.36
398;7;13;30.59
398;9;13;38.91
398;12;13;21.50
399;9;6;36.50
400;1;23;34.41
400;4;23;46.40
400;5;23;108.31
400;9;23;16.87
400;10;23;13.86
400;12;23;19.24
404;1;7;10.57
404;3;6;14.68
404;5;6;8.88
404;10;7;34.49
405;4;7;30.54
405;8;7;32.50
405;10;6;4.83
405;11;6;49.55
406;2;7;18.63
406;5;6;21.96
406;5;7;32.03
407;6;15;26.42
407;11;15;32.36
408;1;7;27.62
409;1;24;21.85
409;4;24;26.51
409;10;24;20.19
411;2;15;36.09
411;12;15;8.16
413;3;14;8.47
417;6;7;26.79
417;9;6;21.32
417;11;7;9.69
417;12;6;37.89
419;12;14;2.72
420;1;22;12.20
420;6;22;13.21
420;12;22;38.73
422;2;13;38.77
422;8;13;1.80
422;10;13;36.17
424;5;6;33.46
424;7;6;24.76
424;7;7;35.65
424;9;6;44.09
426;3;15;19.37
426;6;15;30.43
426;11;15;8.92
429;9;7;17.07
430;2;16;39.46
430;4;16;31.34
430;5;16;64.25
430;7;16;68.90
430;8;16;79.26
430;10;16;10.47
430;11;16;10.16
430;12;16;72.05
432;6;15;59.29
432;9;15;17.32
432;12;15;10.94
435;4;17;29.36
435;8;17;44.62
435;10;17;19.98
435;11;17;24.36
436;4;6;34.39
436;10;6;6.34
436;10;7;14.43
439;1;13;64.52
439;2;13;24.04
439;3;13;2.52
439;5;13;13.17
439;8;13;41.87
439;9;13;37.49
439;11;13;19.37
440;6;15;21.56
440;7;15;20.71
446;1;13;10.54
446;3;13;14.16
446;5;13;13.31
446;6;13;6.93
446;7;13;87.03
446;10;13;43.13
447;9;6;31.57
447;12;6;43.38
448;1;17;35.21
448;3;17;7.59
448;4;17;45.86
448;5;17;35.90
448;6;17;50.78
448;7;17;30.61
