Product_name,Avg_gain
Faux Products Toothpaste,2.4261755741127344
Carlson Strawberry Yogurt,2.4152087272727272
Colossal Thai Rice,2.3999466135458167
Cormorant Copper Pot Scrubber,2.3966475054229934
Booker Strawberry Yogurt,2.3953511194029851
Consolidated 200 MG Ibuprofen,2.3911141221374046
Denny Paper Towels,2.3902860125260958
Bravo Chicken Soup,2.3890494929006088
Golden Popsicles,2.3885703275529862
Carlson Head Cheese,2.3859113300492609
Best Choice Chocolate Chip Cookies,2.3811472392638038
Better Chicken Soup,2.376529861111111
Carlson Mild Cheddar Cheese,2.3754585937499999
Denny 75 Watt Lightbulb,2.3750070175438598
Super Strawberry Jam,2.3745776937618146
Consolidated Childrens Aspirin,2.3640034482758621
Denny Plastic Knives,2.3608393013100439
Fabulous Strawberry Drink,2.3583205980066446
Horatio Frosted Cookies,2.357213793103448
PigTail Low Fat French Fries,2.355756505576208
Nationeel Low Fat Popcorn,2.3534794411177646
Pleasant Canned Yams,2.3532517241379307
Hermanos New Potatos,2.3527589219330856
Hermanos Lemons,2.3521391003460206
Big Time Beef TV Dinner,2.3469487001733103
Moms Foot-Long Hot Dogs,2.3444205298013245
Great Rye Bread,2.3429432188065098
Club Havarti Cheese,2.3425901467505241
Imagine Frozen Carrots,2.3421063097514336
Denny AA-Size Batteries,2.3416460416666665
Good White Zinfandel Wine,2.3410159784560141
Even Better Large Curd Cottage Cheese,2.3409124149659863
Fort West Apple Fruit Roll,2.3396934653465347
Tri-State Red Pepper,2.3384586206896554
Modell Rye Bread,2.3372300518134717
Gorilla Jack Cheese,2.3353704414587333
Fort West BBQ Potato Chips,2.3339493333333334
Cormorant Room Freshener,2.3334521126760563
Club Blueberry Yogurt,2.3310866537717603
Denny C-Size Batteries,2.3299601750547043
Medalist Spaghetti,2.3294368932038836
Nationeel Potato Chips,2.3276683636363638
Horatio No Salt Popcorn,2.3276533333333336
Golden Ice Cream Sandwich,2.3273116600790513
Lake Pimento Loaf,2.3266909090909089
Hermanos Green Pepper,2.3240790697674418
PigTail Frozen Chicken Wings,2.3232754677754679
High Top New Potatos,2.3193527454242928
Just Right Creamed Corn,2.31826244813278
Golden Orange Popsicles,2.3114862523540491
Imagine Waffles,2.3092641818181816
Blue Label Canned Peas,2.3084434210526315
Horatio Low Fat Chips,2.3058000000000001
Bravo Fancy Canned Clams,2.3056020599250933
Best Choice Potato Chips,2.3043872798434442
Jumbo Large Eggs,2.3043268085106381
Faux Products Buffered Aspirin,2.2963200000000001
Fast Sugar Cookies,2.2962496153846153
Giant Large Brown Eggs,2.2961128630705394
Cormorant Toilet Bowl Cleaner,2.2924904867256637
Portsmouth Light Beer,2.2914353463587922
Denny Frying Pan,2.2852180970149254
Red Wing Copper Cleaner,2.2838792706333972
Imagine Popsicles,2.2827074074074076
Landslide Apple Jelly,2.2827042769857435
High Top Dried Mushrooms,2.2761089147286819
Horatio Sugar Cookies,2.2744399999999998
Blue Label Canned Beets,2.2701454545454545
Red Spade Beef Bologna,2.2686342052313884
Walrus Chardonnay,2.2652086021505373
Gauss Monthly Sports Magazine,2.2645709219858157
Cormorant Frying Pan,2.2597601503759397
